Depth,Updates,Observer Callbacks,Time (ms)
800,46,46,958
800,47,47,932
800,48,48,953
800,49,49,976
800,50,50,1000
800,51,51,1028
810,46,46,937
810,47,47,955
810,48,48,975
810,49,49,995
810,50,50,1019
810,51,51,1031
820,46,46,954
820,47,47,988
820,48,48,1005
820,49,49,1023
820,50,50,1038
820,51,51,1063
830,46,46,979
830,47,47,1005
830,48,48,1031
830,49,49,1042
830,50,50,1065
830,51,51,1091
840,46,46,998
840,47,47,1024
840,48,48,1057
840,49,49,1092
840,50,50,1107
840,51,51,1120
850,46,46,1037
850,47,47,1055
850,48,48,1078
850,49,49,1096
850,50,50,1125
850,51,51,1167
860,46,46,1050
860,47,47,1084
860,48,48,1101
860,49,49,1133
860,50,50,1163
860,51,51,1186
870,46,46,1074
870,47,47,1100
870,48,48,1142
870,49,49,1163
870,50,50,1166
870,51,51,1197
880,46,46,1100
880,47,47,1141
880,48,48,1145
880,49,49,1179
880,50,50,1205
880,51,51,1221
890,46,46,1118
890,47,47,1149
890,48,48,1185
890,49,49,1207
890,50,50,1233
890,51,51,1253
900,46,46,1151
900,47,47,1178
900,48,48,1203
900,49,49,1274
900,50,50,1274
900,51,51,1288
